Environment,Domain Name,Service Type,Plan Name,Case Search Enabled,Linked Domain Names
production,cfs-upstream-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,"downstream-test,cfs-downstream-test"
production,c19-demo,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,wv-sahel-mali-dev,INTERNAL,Dimagi Only CommCare Enterprise Edition,False,
production,ny-stlawrence-cdcms,PRODUCT,CommCare Paused Edition,True,
production,whatdoesthefoxsay,NOT_SET,Dimagi Only CommCare Enterprise Edition,,
production,m2mdemo,PRODUCT,Dimagi Only CommCare Enterprise Edition,True,
production,co-test-statewide,,,,
production,hungry-hippo-anthony-noel,,,,
production,pv-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-mesa,,,,
production,inddex-upload-test-3,PRODUCT,CommCare Community Edition (With ERM),,
production,julia-fuller-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,demo-183
production,faes,IMPLEMENTATION,Advanced Plan (10 reports limit),True,
production,campaign-madagascar,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,True,
production,cdc-pods-chad,INTERNAL,Dimagi Only CommCare Enterprise Edition,,cdc-pods-chad-prod
production,nj-covid-morris,,,,
production,ny-wyoming-cdcms,PRODUCT,CommCare Paused Edition,True,
production,acoffeemachineinanoffice,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,pop-health-surveillance,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,1000k-load,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,aashima-test,,,,
production,campaign-sierra-leone,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,
production,unicef-vaccination-benin,PRODUCT,CommCare Paused Edition,,
production,project-space-a,INTERNAL,CommCare Advanced Edition - Pay Monthly,True,"mirror1,project-space-b"
production,co-elpaso,,,,
production,dawkins-tests,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,co-statewide,,,,
production,campaign-guinea,IMPLEMENTATION,CommCare Enterprise Plan for Gates Foundation: WHO AFRO Polio Campaign III,,
production,charles-sandbox,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,nj-performance,,,,
production,co-carecoordination-dev,SANDBOX,Enterprise Plan for State of Colorado: Capacity and Central Registries,True,"woody-sample-apps,wm-location-import-test,https://staging.commcarehq.org/a/co-carecoordination-test/,https://staging.commcarehq.org/a/bha-auto-tests/,bh-mat-registry,woody-meade-test,bha-auto-tests,bha-location-redesign-1,jonathantangtest,test-project-432,co-carecoordination-test,co-carecoordination,co-carecoordination-uat,co-carecoordination-perf"
production,gorongosa-project,PRODUCT,CommCare Paused Edition,,
production,ny-state-covid19,IMPLEMENTATION,CommCare Paused Edition,,ny-training-covid19
production,nj-covid-camden,,,,
production,tc-monkeypox-staging,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
production,vee-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,vee-2
production,ny-sullivan-cdcms,PRODUCT,CommCare Paused Edition,True,
production,inddex-upload-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,gpm-ccc-tech-test,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,ush-migration-b2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,fh-ethiopia-2,PRODUCT,Discounted Custom Advanced Plan for Food for the Hungry - Pay Annually,,
production,marissaharrison-test-2,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,polio-kenya,INTERNAL,Dimagi Only CommCare Enterprise Edition,,https://ujira.health.go.ke/a/test/
production,campaign-milda-guinea,INTERNAL,Trial Internal Enterprise Plan,,hl-test
production,ny-tompkins-cdcms,PRODUCT,CommCare Paused Edition,True,
production,ccc-tech1,INTERNAL,Dimagi Only CommCare Enterprise Edition,,
production,cooper-test,NOT_SET,Dimagi Only CommConnect Enterprise Edition,,
production,co-saguache,,,,
production,nj-covid-integrations,,,,
production,project-space-b,INTERNAL,Dimagi Only CommCare Enterprise Edition,True,
